Timestamp,Hora,Valor do Microfone
1741005362,12:36:03,63.95385
1741005363,12:36:03,66.46
1741005364,12:36:04,65.56
1741005365,12:36:05,66.34
1741005366,12:36:07,65.88
1741005367,12:36:08,65.98
1741005368,12:36:08,66.26
1741005369,12:36:09,64.84615
1741005370,12:36:10,65.88
1741005371,12:36:12,64.66154
1741005372,12:36:12,64.72308
1741005373,12:36:13,64.75385
1741005374,12:36:14,66.26
1741005375,12:36:16,65.96
1741005376,12:36:17,65.64
1741005377,12:36:17,65.74
1741005378,12:36:18,65.74
1741005379,12:36:19,74.275
1741005380,12:36:21,65.04
1741005381,12:36:21,64.84615
1741005382,12:36:22,64.50769
1741005383,12:36:23,65.54
1741005384,12:36:25,66.88
1741005385,12:36:26,65.1
1741005386,12:36:27,65.26
1741005388,12:36:29,65.46
1741005389,12:36:29,64.2
1741005390,12:36:30,64.47692
1741005391,12:36:31,64.75385
1741005392,12:36:33,64.78461
1741005393,12:36:34,66.04
1741005394,12:36:34,64.50769
1741005395,12:36:35,64.93846
1741005396,12:36:36,65.24
1741005397,12:36:38,64.93846
1741005398,12:36:38,66.9
1741005399,12:36:39,65.3
1741005400,12:36:40,64.93846
1741005401,12:36:42,65.96
1741005402,12:36:43,65.72
1741005403,12:36:43,64.50769
1741005404,12:36:44,65.3
1741005405,12:36:45,65.34
1741005406,12:36:47,65.26
1741005407,12:36:47,65.64
1741005408,12:36:48,65.18
1741005409,12:36:49,65.72
1741005410,12:36:51,65.06
1741005411,12:36:52,64.47692
1741005412,12:36:52,65.92
1741005413,12:36:53,65.74
1741005414,12:36:55,65.58
1741005415,12:36:56,65.3
1741005416,12:36:56,64.47692
1741005417,12:36:57,65.14
1741005418,12:36:58,65.48
1741005419,12:37:00,65.66
1741005420,12:37:01,64.47692
1741005421,12:37:01,64.41538
1741005422,12:37:02,65.6
1741005423,12:37:03,65.34
1741005424,12:37:05,65.36
1741005425,12:37:06,66.1
1741005426,12:37:06,64.78461
1741005427,12:37:07,64.93846
1741005428,12:37:08,65.48
1741005429,12:37:10,65
1741005431,12:37:11,65.08
1741005432,12:37:13,65.34
1741005433,12:37:13,65.16
1741005434,12:37:14,65.3
1741005435,12:37:15,65.7
1741005436,12:37:17,66.24
1741005437,12:37:18,65.28
1741005438,12:37:18,66.04
1741005439,12:37:19,65.6
1741005440,12:37:20,65.4
1741005441,12:37:22,64.66154
1741005442,12:37:22,65.48
1741005443,12:37:23,65.94
1741005444,12:37:24,65.08
1741005445,12:37:26,65.56
1741005446,12:37:27,65
1741005447,12:37:27,65.66
1741005448,12:37:28,65.6
1741005449,12:37:29,64.50769
1741005450,12:37:31,65.24
1741005451,12:37:31,65.9
1741005452,12:37:33,65.32
1741005453,12:37:34,65.26
1741005454,12:37:34,66.42
1741005455,12:37:35,64.72308
1741005456,12:37:36,64.6
1741005457,12:37:38,65.14
1741005458,12:37:38,65.02
1741005459,12:37:39,64.35384
1741005460,12:37:40,65.34
1741005461,12:37:42,66.14
1741005462,12:37:43,64.01538
1741005463,12:37:43,65.6
1741005464,12:37:44,65.22
1741005465,12:37:45,65.1
1741005466,12:37:47,80
1741005467,12:37:47,80
1741005468,12:37:48,80
1741005469,12:37:49,80
1741005470,12:37:51,65.6
1741005471,12:37:52,65.08
1741005472,12:37:52,66.28
1741899459,20:57:40,59.7
1741899460,20:57:41,80
1741899461,20:57:41,59.4
1741899462,20:57:42,59.2
1741899463,20:57:43,61
1741899464,20:57:45,70.475
1741899465,20:57:46,65.58
1741899466,20:57:46,69.56
1741899467,20:57:47,80
1741899468,20:57:48,61.46154
1741899469,20:57:50,61
1741899470,20:57:50,60
1741899471,20:57:51,60.4
1741899472,20:57:52,61.21539
